#date+time,005-atp
"02-05-2023 2300",20.6
"02-06-2023 0000",19.4
"02-06-2023 0100",19.1
"02-06-2023 0200",18.2
"02-06-2023 0300",18.6
"02-06-2023 0400",18.6
"02-06-2023 0500",18.4
"02-06-2023 0600",18.3
"02-06-2023 0700",17.9
"02-06-2023 0800",18.2
"02-06-2023 0900",18.2
"02-06-2023 1000",18.3
"02-06-2023 1100",17.6
"02-06-2023 1200",17.7
"02-06-2023 1300",17.5
"02-06-2023 1400",18.4
"02-06-2023 1500",19.6
"02-06-2023 1600",20.0
"02-06-2023 1700",21.4
"02-06-2023 1800",21.6
"02-06-2023 1900",21.9
"02-06-2023 2000",22.1
"02-06-2023 2100",21.6
"02-06-2023 2200",21.3
"02-06-2023 2300",21.0
"02-07-2023 0000",20.1
"02-07-2023 0100",19.9
"02-07-2023 0200",19.6
"02-07-2023 0300",19.7
"02-07-2023 0400",19.9
"02-07-2023 0500",19.6
"02-07-2023 0600",19.5
"02-07-2023 0700",19.2
"02-07-2023 0800",19.4
"02-07-2023 0900",19.3
"02-07-2023 1000",19.3
"02-07-2023 1100",19.6
"02-07-2023 1200",19.6
"02-07-2023 1300",19.6
"02-07-2023 1400",19.9
"02-07-2023 1500",20.4
"02-07-2023 1600",21.4
"02-07-2023 1700",21.5
"02-07-2023 1800",22.1
"02-07-2023 1900",21.2
"02-07-2023 2000",21.1
"02-07-2023 2100",22.1
"02-07-2023 2200",21.7
"02-07-2023 2300",22.0
"02-08-2023 0000",21.3
"02-08-2023 0100",20.5
"02-08-2023 0200",19.8
"02-08-2023 0300",19.5
"02-08-2023 0400",19.7
"02-08-2023 0500",19.9
"02-08-2023 0600",20.2
"02-08-2023 0700",20.2
"02-08-2023 0800",20.0
"02-08-2023 0900",19.8
"02-08-2023 1000",20.1
"02-08-2023 1100",19.6
"02-08-2023 1200",19.5
"02-08-2023 1300",19.2
"02-08-2023 1400",19.7
"02-08-2023 1500",20.1
"02-08-2023 1600",16.3
"02-08-2023 1700",14.0
