#date+time,013-atp
"02-05-2022 0900",2.1
"02-05-2022 1000",2.1
"02-05-2022 1100",2.8
"02-05-2022 1200",2.5
"02-05-2022 1300",2.2
"02-05-2022 1400",2.1
"02-05-2022 1500",2.2
"02-05-2022 1600",2.2
"02-05-2022 1700",3.0
"02-05-2022 1800",3.7
"02-05-2022 1900",4.2
"02-05-2022 2000",5.2
"02-05-2022 2100",6.2
"02-05-2022 2200",7.2
"02-05-2022 2300",7.5
"02-06-2022 0000",7.3
"02-06-2022 0100",6.7
"02-06-2022 0200",6.9
"02-06-2022 0300",6.8
"02-06-2022 0400",7.1
"02-06-2022 0500",6.7
"02-06-2022 0600",NA
"02-06-2022 0700",6.5
"02-06-2022 0800",6.5
"02-06-2022 0900",7.2
"02-06-2022 1000",7.0
"02-06-2022 1100",6.9
"02-06-2022 1200",6.7
"02-06-2022 1300",7.3
"02-06-2022 1400",7.1
"02-06-2022 1500",7.8
"02-06-2022 1600",8.2
"02-06-2022 1700",9.2
"02-06-2022 1800",9.5
"02-06-2022 1900",9.8
"02-06-2022 2000",11.2
"02-06-2022 2100",11.8
"02-06-2022 2200",11.8
"02-06-2022 2300",11.5
"02-07-2022 0000",11.8
"02-07-2022 0100",11.6
"02-07-2022 0200",10.9
"02-07-2022 0300",10.7
"02-07-2022 0400",10.9
"02-07-2022 0500",12.1
"02-07-2022 0600",12.0
"02-07-2022 0700",11.6
"02-07-2022 0800",11.9
"02-07-2022 0900",12.1
"02-07-2022 1000",12.4
"02-07-2022 1100",10.5
"02-07-2022 1200",11.0
"02-07-2022 1300",10.7
"02-07-2022 1400",10.3
"02-07-2022 1500",10.4
"02-07-2022 1600",10.4
"02-07-2022 1700",11.2
"02-07-2022 1800",12.1
"02-07-2022 1900",12.8
"02-07-2022 2000",13.6
"02-07-2022 2100",14.8
"02-07-2022 2200",15.1
"02-07-2022 2300",14.7
"02-08-2022 0000",14.0
"02-08-2022 0100",13.4
"02-08-2022 0200",12.9
"02-08-2022 0300",12.2
"02-08-2022 0400",NA
"02-08-2022 0500",13.1
"02-08-2022 0600",12.5
"02-08-2022 0700",11.9
"02-08-2022 0800",12.0
"02-08-2022 0900",11.7
"02-08-2022 1000",7.8
"02-08-2022 1100",7.4
"02-08-2022 1200",7.1
"02-08-2022 1300",7.1
"02-08-2022 1400",7.1
"02-08-2022 1500",8.6
"02-08-2022 1600",10.4
"02-08-2022 1700",11.4
"02-08-2022 1800",12.0
"02-08-2022 1900",13.8
"02-08-2022 2000",14.5
